First Name,Last Name,Age,Height,Weight,Gender Identity,Handedness,Email Address,Cell Phone Number,Preferred Language
Max,Kramer,22,70,215,other,right,mkramer1@uchicago.edu,7733185225,en
Coen,Needell,23,66,140,male,right,mkramer1@uchicago.edu,7733185225,en
Deepa,Prasad,22,59,120,female,left,mkramer1@uchicago.edu,7733185225,en
Wilma,Bainbridge,31,57,125,female,ambidextrous,mkramer1@uchicago.edu,7733185225,es
Leon ,Zhou,19,73,140,male,right,mkramer1@uchicago.edu,7733185225,es
Madeline,Gedvila,18,64,155,female,right,mkramer1@uchicago.edu,7733185225,zh
Rebecca,Greenberg,20,60,110,female,left,mkramer1@uchicago.edu,7733185225,zh
Trent,Davis,20,59,125,male,right,mkramer1@uchicago.edu,7733185225,fr
Max,Kramer,22,70,215,other,right,mkramer1@uchicago.edu,7733185225,en
Coen,Needell,23,66,140,male,right,mkramer1@uchicago.edu,7733185225,en
Deepa,Prasad,22,59,120,female,left,mkramer1@uchicago.edu,7733185225,en
Wilma,Bainbridge,31,57,125,female,ambidextrous,mkramer1@uchicago.edu,7733185225,es
Leon ,Zhou,19,73,140,male,right,mkramer1@uchicago.edu,7733185225,es
Madeline,Gedvila,18,64,155,female,right,mkramer1@uchicago.edu,7733185225,zh
Rebecca,Greenberg,20,60,110,female,left,mkramer1@uchicago.edu,7733185225,zh
Trent,Davis,20,59,125,male,right,mkramer1@uchicago.edu,7733185225,fr
Max,Kramer,22,70,215,other,right,mkramer1@uchicago.edu,7733185225,en
Coen,Needell,23,66,140,male,right,mkramer1@uchicago.edu,7733185225,en
Deepa,Prasad,22,59,120,female,left,mkramer1@uchicago.edu,7733185225,en
Wilma,Bainbridge,31,57,125,female,ambidextrous,mkramer1@uchicago.edu,7733185225,es
Leon ,Zhou,19,73,140,male,right,mkramer1@uchicago.edu,7733185225,es
Madeline,Gedvila,18,64,155,female,right,mkramer1@uchicago.edu,7733185225,zh
Rebecca,Greenberg,20,60,110,female,left,mkramer1@uchicago.edu,7733185225,zh
Trent,Davis,20,59,125,male,right,mkramer1@uchicago.edu,7733185225,fr
